species,nodulation
Albizia_boinensis,Yes
Albizia_burkartiana,Yes
Albizia_canescens,Yes
Albizia_carbonaria,Yes
Albizia_carrii,Yes
Albizia_chevalieri,Yes
Albizia_chinensis,Yes
Albizia_commiphoroides,Yes
Albizia_decandra,Yes
Albizia_duckeana,Yes
Albizia_edwallii,Yes
Albizia_forbesii,Yes
Albizia_glaberrima,Yes
Albizia_glabripetala,Yes
Albizia_grandibracteata,Yes
Albizia_greveana,Yes
Albizia_guachapele,Yes
Albizia_gummifera,Yes
Albizia_harveyi,Yes
Albizia_inundata,Yes
Albizia_julibrissin,Yes
Albizia_kalkora,Yes
Albizia_kostermansii,Yes
Albizia_lebbekoides,Yes
Albizia_leonardii,Yes
Albizia_mahalao,Yes
Albizia_mainaea,Yes
Albizia_malacophylla,Yes
Albizia_masikororum,Yes
Albizia_multiflora,Yes
Albizia_myriophylla,Yes
Albizia_niopoides,Yes
Albizia_obliquifoliolata,Yes
Albizia_odoratissima,Yes
Albizia_pedicellaris,Yes
Albizia_pistaciifolia,Yes
Albizia_polycephala,Yes
Albizia_polyphylla,Yes
Albizia_procera,Yes
Albizia_saman,Yes
Albizia_saponaria,Yes
Albizia_schimperiana,Yes
Albizia_sinaloensis,Yes
Albizia_subdimidiata,Yes
Albizia_tanganyicensis,Yes
Albizia_tomentosa,Yes
Albizia_tulearensis,Yes
Albizia_versicolor,Yes
Albizia_viridis,Yes
Albizia_zygia,Yes
Anadenanthera_peregrina,Yes
Archidendron_borneense,Yes
Archidendron_chevalieri,Yes
Archidendron_clypearia,Yes
Archidendron_eberhardtii,Yes
Archidendron_ellipticum,Yes
Archidendron_glabrum,Yes
Archidendron_glomeriflorum,Yes
Archidendron_jiringa,Yes
Archidendron_lucyi,Yes
Archidendron_ptenopum,Yes
Archidendron_robinsonii,Yes
Archidendron_scutiferum,Yes
Archidendron_triplinervium,Yes
Archidendron_utile,Yes
Archidendropsis_basaltica,Yes
Archidendropsis_fournieri,Yes
Archidendropsis_granulosa,Yes
Aubrevillea_kerstingii,No
Balizia_elegans,Yes
Balizia_leucocalyx,Yes
Calliandra_asplenioides,Yes
Calliandra_bahiana,Yes
Calliandra_bella,Yes
Calliandra_biflora,Yes
Calliandra_bijuga,Yes
Calliandra_bombycina,Yes
Calliandra_brenesii,Yes
Calliandra_brevicaulis,Yes
Calliandra_brevipes,Yes
Calliandra_caeciliae,Yes
Calliandra_californica,Yes
Calliandra_calothyrsus,Yes
Calliandra_calycina,Yes
Calliandra_chilensis,Yes
Calliandra_chulumania,Yes
Calliandra_comosa,Yes
Calliandra_conferta,Yes
Calliandra_densifolia,Yes
Calliandra_dysantha,Yes
Calliandra_elegans,Yes
Calliandra_eriophylla,Yes
Calliandra_erubescens,Yes
Calliandra_erythrocephala,Yes
Calliandra_fasciculata,Yes
Calliandra_foliolosa,Yes
Calliandra_fuscipila,Yes
Calliandra_glomerulata,Yes
Calliandra_glyphoxylon,Yes
Calliandra_guildingii,Yes
Calliandra_haematocephala,Yes
Calliandra_haematomma,Yes
Calliandra_hirsuta,Yes
Calliandra_houstoniana,Yes
Calliandra_humilis,Yes
Calliandra_hymenaeodes,Yes
Calliandra_juzepczukii,Yes
Calliandra_laevis,Yes
Calliandra_lanata,Yes
Calliandra_longipes,Yes
Calliandra_luetzelburgii,Yes
Calliandra_magdalenae,Yes
